,AGENCE,CODE RESPONSABLE,,,,,,,,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,,N AGENCE,N CODE RESP,,N° Prospect,Agence,Libellé Agence,
125155,102,21,1140604,0,,,,,125155,89730,AUXERRE,
125231,102,21,1140604,0,,,,,125231,49730,ANGERS,
125333,102,21,1140604,0,,,,,125333,92730,PARIS,
125409,102,21,1140604,0,,,,,125409,54730,NANCY,
125775,102,21,1140604,0,,,,,125775,44730,NANTES,
126205,102,21,1140604,0,,,,,126205,87740,D.R./LIMOGES,
127017,102,21,1140604,0,,,,,127017,44730,NANTES,
127188,102,21,1140604,0,,,,,127188,44730,NANTES,
127216,102,21,1140604,0,,,,,127216,69730,LYON,
127414,102,21,1140604,0,,,,,127414,,,
127905,102,21,1140604,0,,,,,127905,34730,MONTPELLIER,
128078,102,21,1140604,0,,,,,128078,01730,BOURG EN BRESSE,
128719,102,21,1140604,0,,,,,128719,33740,D.R./BORDEAUX,
128991,102,21,1140604,0,,,,,128991,92730,PARIS,
129054,102,21,1140604,0,,,,,129054,33740,D.R./BORDEAUX,
129209,102,21,1140604,0,,,,,129209,49730,ANGERS,
129282,102,21,1140604,0,,,,,129282,44730,NANTES,
129284,102,21,1140604,0,,,,,129284,64730,PAU,
129660,102,21,1140604,0,,,,,129660,76740,DGR NORD,
129698,102,21,1140604,0,,,,,129698,41720,BLOIS INTERIM,
130158,102,21,1140604,0,,,,,130158,06730,NICE,
131510,102,21,1140604,0,,,,,131510,54730,NANCY,
131514,102,21,1140604,0,,,,,131514,49730,ANGERS,
131562,102,21,1140604,0,,,,,131562,80730,AMIENS,
132062,102,21,1140604,0,,,,,132062,38750,D.R./VIENNE,
133185,102,21,1140604,0,,,,,133185,54730,NANCY,
133290,102,21,1140604,0,,,,,133290,89730,AUXERRE,
133404,102,21,1140604,0,,,,,133404,41720,BLOIS INTERIM,
133458,102,21,1140604,0,,,,,133458,69730,LYON,
133517,102,21,1140604,0,,,,,133517,34730,MONTPELLIER,
133526,102,21,1140604,0,,,,,133526,06730,NICE,
134129,102,21,1140604,0,,,,,134129,59730,LILLE,
134139,102,21,1140604,0,,,,,134139,01730,BOURG EN BRESSE,
134164,102,21,1140604,0,,,,,134164,37730,TOURS,
134672,102,21,1140604,0,,,,,134672,44730,NANTES,
134999,102,21,1140604,0,,,,,134999,54730,NANCY,
135092,102,21,1140604,0,,,,,135092,59730,LILLE,
135188,102,21,1140604,0,,,,,135188,44730,NANTES,
135415,102,21,1140604,0,,,,,135415,44730,NANTES,
135473,102,21,1140604,0,,,,,135473,54730,NANCY,
135758,102,21,1140604,0,,,,,135758,34730,MONTPELLIER,
136001,102,21,1140604,0,,,,,136001,59730,LILLE,
136030,102,21,1140604,0,,,,,136030,06730,NICE,
136164,102,21,1140604,0,,,,,136164,35760,D.R./RENNES,
136172,102,21,1140604,0,,,,,136172,35760,D.R./RENNES,
136216,102,21,1140604,0,,,,,136216,01730,BOURG EN BRESSE,
136766,102,21,1140604,0,,,,,136766,44730,NANTES,
137274,102,21,1140604,0,,,,,137274,87730,LIMOGES,
137989,102,21,1140604,0,,,,,137989,49730,ANGERS,
138033,102,21,1140604,0,,,,,138033,49730,ANGERS,
138050,102,21,1140604,0,,,,,138050,49730,ANGERS,
138591,102,21,1140604,0,,,,,138591,34730,MONTPELLIER,
138634,102,21,1140604,0,,,,,138634,35760,D.R./RENNES,
138703,102,21,1140604,0,,,,,138703,80730,AMIENS,
139010,102,21,1140604,0,,,,,139010,49730,ANGERS,
139321,102,21,1140604,0,,,,,139321,35760,D.R./RENNES,
139332,102,21,1140604,0,,,,,139332,89730,AUXERRE,
139421,102,21,1140604,0,,,,,139421,76750,D.R./ROUEN,
140267,102,21,1140604,0,,,,,140267,01730,BOURG EN BRESSE,
140454,102,21,1140604,0,,,,,140454,35760,D.R./RENNES,
141143,102,21,1140604,0,,,,,141143,35760,D.R./RENNES,
141179,102,21,1140604,0,,,,,141179,44730,NANTES,
141187,102,21,1140604,0,,,,,141187,38740,VIENNE,
141225,102,21,1140604,0,,,,,141225,34730,MONTPELLIER,
141444,102,21,1140604,0,,,,,141444,92730,PARIS,
141449,102,21,1140604,0,,,,,141449,89730,AUXERRE,
141615,102,21,1140604,0,,,,,141615,44730,NANTES,
142070,102,21,1140604,0,,,,,142070,35730,RENNES,
142835,102,21,1140604,0,,,,,142835,44730,NANTES,
143143,102,21,1140604,0,,,,,143143,59730,LILLE,
143692,102,21,1140604,0,,,,,143692,01730,BOURG EN BRESSE,
144388,102,21,1140604,0,,,,,144388,69730,LYON,
144463,102,21,1140604,0,,,,,144463,49730,ANGERS,
144600,102,21,1140604,0,,,,,144600,49730,ANGERS,
144964,102,21,1140604,0,,,,,144964,86730,POITIERS,
144979,102,21,1140604,0,,,,,144979,86730,POITIERS,
145245,102,21,1140604,0,,,,,145245,31850,D.R./TOULOUSE,
145522,102,21,1140604,0,,,,,145522,87730,LIMOGES,
145746,102,21,1140604,0,,,,,145746,13730,MARSEILLE,
145845,102,21,1140604,0,,,,,145845,13730,MARSEILLE,
145935,102,21,1140604,0,,,,,145935,13730,MARSEILLE,
145950,102,21,1140604,0,,,,,145950,13730,MARSEILLE,
146005,102,21,1140604,0,,,,,146005,13730,MARSEILLE,
146022,102,21,1140604,0,,,,,146022,13730,MARSEILLE,
146099,102,21,1140604,0,,,,,146099,13730,MARSEILLE,
148107,102,21,1140604,0,,,,,148107,37730,TOURS,
148342,102,21,1140604,0,,,,,148342,13730,MARSEILLE,
149467,102,21,1140604,0,,,,,149467,64730,PAU,
149477,102,21,1140604,0,,,,,149477,64730,PAU,
149526,102,21,1140604,0,,,,,149526,64730,PAU,
150287,102,21,1140604,0,,,,,150287,49730,ANGERS,
150499,102,21,1140604,0,,,,,150499,49730,ANGERS,
150707,102,21,1140604,0,,,,,150707,13730,MARSEILLE,
150738,102,21,1140604,0,,,,,150738,35760,D.R./RENNES,
151055,102,21,1140604,0,,,,,151055,,,
151611,102,21,1140604,0,,,,,151611,49730,ANGERS,
152266,102,21,1140604,0,,,,,152266,89730,AUXERRE,
152275,102,21,1140604,0,,,,,152275,54730,NANCY,
152753,102,21,1140604,0,,,,,152753,76750,D.R./ROUEN,
153442,102,21,1140604,0,,,,,153442,49730,ANGERS,
153450,102,21,1140604,0,,,,,153450,44730,NANTES,
153738,102,21,1140604,0,,,,,153738,44730,NANTES,
153769,102,21,1140604,0,,,,,153769,21730,DIJON,
153798,102,21,1140604,0,,,,,153798,44730,NANTES,
153814,102,21,1140604,0,,,,,153814,34730,MONTPELLIER,
153851,102,21,1140604,0,,,,,153851,49730,ANGERS,
154158,102,21,1140604,0,,,,,154158,37730,TOURS,
154449,102,21,1140604,0,,,,,154449,54730,NANCY,
154708,102,21,1140604,0,,,,,154708,31850,D.R./TOULOUSE,
154950,102,21,1140604,0,,,,,154950,35760,D.R./RENNES,
155001,102,21,1140604,0,,,,,155001,63750,CLERMONT-FERRAND,
155048,102,21,1140604,0,,,,,155048,49730,ANGERS,
155572,102,21,1140604,0,,,,,155572,01730,BOURG EN BRESSE,
155675,102,21,1140604,0,,,,,155675,80730,AMIENS,
155851,102,21,1140604,0,,,,,155851,49730,ANGERS,
155963,102,21,1140604,0,,,,,155963,64730,PAU,
155984,102,21,1140604,0,,,,,155984,44730,NANTES,
156183,102,21,1140604,0,,,,,156183,49730,ANGERS,
156781,102,21,1140604,0,,,,,156781,92730,PARIS,
156895,102,21,1140604,0,,,,,156895,49730,ANGERS,
156931,102,21,1140604,0,,,,,156931,49730,ANGERS,
157355,102,21,1140604,0,,,,,157355,86730,POITIERS,
158401,102,21,1140604,0,,,,,158401,44730,NANTES,
158429,102,21,1140604,0,,,,,158429,86730,POITIERS,
158781,102,21,1140604,0,,,,,158781,64730,PAU,
158804,102,21,1140604,0,,,,,158804,63750,CLERMONT-FERRAND,
158866,102,21,1140604,0,,,,,158866,35760,D.R./RENNES,
158912,102,21,1140604,0,,,,,158912,92730,PARIS,
159036,102,21,1140604,0,,,,,159036,87740,D.R./LIMOGES,
159273,102,21,1140604,0,,,,,159273,41740,D.R./BLOIS,
159770,102,21,1140604,0,,,,,159770,49730,ANGERS,
159808,102,21,1140604,0,,,,,159808,21730,DIJON,
160611,102,21,1140604,0,,,,,160611,49730,ANGERS,
160735,102,21,1140604,0,,,,,160735,21730,DIJON,
161389,102,21,1140604,0,,,,,161389,49730,ANGERS,
161577,102,21,1140604,0,,,,,161577,54730,NANCY,
161846,102,21,1140604,0,,,,,161846,87730,LIMOGES,
162067,102,21,1140604,0,,,,,162067,13730,MARSEILLE,
162791,102,21,1140604,0,,,,,162791,49730,ANGERS,
162894,102,21,1140604,0,,,,,162894,44730,NANTES,
163144,102,21,1140604,0,,,,,163144,49730,ANGERS,
163223,102,21,1140604,0,,,,,163223,49730,ANGERS,
